Название района;Назва району;Город;Область;Тип
Агрономическое;Агрономічне;Винница;Винницкая;Пригород
Адамовка;Адамівка;Погребище;Винницкая;Село
Акимовка;Якимівка;Оратов;Винницкая;Село
Александровка;Олександрівка;Винница;Винницкая;Село
Александровка;Олександрівка;Жмеринка;Винницкая;Село
Александровка;Олександрівка;Литин;Винницкая;Село
Александровка;Олександрівка;Томашполь;Винницкая;Село
Александровка;Олександрівка;Тростянец;Винницкая;Село
Алексеевка;Олексіївка;Немиров;Винницкая;Район
Андрияшевка;Андріяшівка;Крыжополь;Винницкая;Село
Андрушевка;Андрушівка;Погребище;Винницкая;Село
Антоновка;Антонівка;Бар;Винницкая;Село
Антоновка;Антонівка;Теплик;Винницкая;Село
Антоновка;Антонівка;Томашполь;Винницкая;Село
Антополь;Антопіль;Томашполь;Винницкая;Село
Бабин;Бабин;Ильинцы;Винницкая;Село
Бабинцы;Бабинці;Погребище;Винницкая;Село
Бабчинцы;Бабчинці;Черновцы;Винницкая;Село
Багриновцы;Багринівці;Литин;Винницкая;Село
Байковка;Байківка;Калиновка;Винницкая;Село
Байраковка;Байраківка;Немиров;Винницкая;Село
Балабановка;Балабанівка;Оратов;Винницкая;Село
Балановка;Баланівка;Бершадь;Винницкая;Село
Балановка;Баланівка;Оратов;Винницкая;Село
Балин;Балин;Литин;Винницкая;Село
Балки;Балки;Бар;Винницкая;Село
Бандишовка;Бандишівка;Могилев-Подольский;Винницкая;Село
Бар;Бар;Бар;Винницкая;Район
Бар вокзал;Бар вокзал;Бар;Винницкая;Село
Барское шоссе;Барське шосе;Винница;Винницкая;Район
Бахтин;Бахтин;Мурованые Куриловцы;Винницкая;Село
Безводное;Безводне;Ямполь;Винницкая;Село
Безыменное;Безіменне;Казатин;Винницкая;Село
Белашки;Білашки;Погребище;Винницкая;Село
Белая;Біла;Липовец;Винницкая;Село
Белая;Біла;Ямполь;Винницкая;Село
Беликовцы;Біликівці;Жмеринка;Винницкая;Село
Беличин;Біличин;Бар;Винницкая;Село
Белки;Білки;Ильинцы;Винницкая;Село
Белополье;Білопілля;Казатин;Винницкая;Село
Белоусовка;Білоусівка;Тульчин;Винницкая;Село
Белый Камень;Білий Камінь;Чечельник;Винницкая;Село
Белый Рукав;Білий Рукав;Хмельник;Винницкая;Село
Бережанка;Бережанка;Тростянец;Винницкая;Село
Березина;Березина;Винница;Винницкая;Село
Березки-Бершадские;Берізки-Бершадські;Бершадь;Винницкая;Село
Березки-Чечельницкие;Берізки-Чечельницькі;Чечельник;Винницкая;Село
Березна;Березна;Хмельник;Винницкая;Село
Березовка;Березівка;Бершадь;Винницкая;Село
Березовка;Березівка;Черновцы;Винницкая;Село
Берестовка;Берестівка;Липовец;Винницкая;Село
Бершадь;Бершадь;Бершадь;Винницкая;Район
Бжильна;Бджільна;Теплик;Винницкая;Село
Бирловка;Бирлівка;Бершадь;Винницкая;Село
Блажиевка;Блажіївка;Казатин;Винницкая;Село
Ближнее замостье;Ближнє замостя;Винница;Винницкая;Район
Боблов;Боблів;Немиров;Винницкая;Село
Богдановка;Богданівка;Липовец;Винницкая;Село
Богдановка;Богданівка;Тульчин;Винницкая;Село
Болган;Болган;Песчанка;Винницкая;Село
Боляны;Біляни;Черновцы;Винницкая;Село
Бондуровка;Бондурівка;Немиров;Винницкая;Село
Бондуровка;Бондурівка;Чечельник;Винницкая;Село
Бондуры;Бондурі;Гайсин;Винницкая;Село
Борисовка;Борисівка;Ильинцы;Винницкая;Село
Борков;Бірків;Литин;Винницкая;Село
Боровка;Борівка;Черновцы;Винницкая;Село
Бортники;Бортники;Тульчин;Винницкая;Село
Борщаговка;Борщагівка;Погребище;Винницкая;Село
Борщевцы;Борщівці;Могилев-Подольский;Винницкая;Село
Бохоники;Бохоники;Винница;Винницкая;Село
Браилов;Браїлів;Жмеринка;Винницкая;Село
Брацлав;Брацлав;Немиров;Винницкая;Село
Брицкое;Брицьке;Липовец;Винницкая;Село
Бродецкое;Бродецьке;Казатин;Винницкая;Село
Бродок;Брідок;Теплик;Винницкая;Село
Бронница;Бронниця;Могилев-Подольский;Винницкая;Село
Бруслинов;Бруслинів;Литин;Винницкая;Село
Брытовка;Бритавка;Чечельник;Винницкая;Село
Бубновка;Бубнівка;Гайсин;Винницкая;Село
Бугаков;Бугаків;Немиров;Винницкая;Село
Будки;Будьки;Жмеринка;Винницкая;Село
Будков;Будків;Хмельник;Винницкая;Село
Буднее;Будне;Шаргород;Винницкая;Село
Буды;Буди;Тростянец;Винницкая;Село
Букатинка;Букатинка;Черновцы;Винницкая;Село
Бухны;Бухни;Погребище;Винницкая;Село
Бучмы;Бучми;Винница;Винницкая;Район
Буша;Буша;Ямполь;Винницкая;Село
Бушинка;Бушинка;Тывров;Винницкая;Село
Вапнярка;Вапнярка;Томашполь;Винницкая;Село
Василевка;Василівка;Тульчин;Винницкая;Село
Васильевка;Василівка;Ильинцы;Винницкая;Село
Васильевка;Василівка;Тывров;Винницкая;Село
Вахновка;Вахнівка;Липовец;Винницкая;Село
Великая Бушинка;Велика Бушинка;Немиров;Винницкая;Село
Великая Вулига;Велика Вулига;Тывров;Винницкая;Село
Великая Киреевка;Велика Киріївка;Бершадь;Винницкая;Село
Великая Косница;Велика Кісниця;Ямполь;Винницкая;Село
Великая Мочулка;Велика Мочулка;Теплик;Винницкая;Село
Великая Ростовка;Велика Ростівка;Оратов;Винницкая;Село
Великая Русава;Велика Русава;Томашполь;Винницкая;Село
Великая Стратеевка;Велика Стратіївка;Тростянец;Винницкая;Село
Великие Крушлинцы;Великі Крушлинці;Винница;Винницкая;Село
Великий Мытник;Великий Митник;Хмельник;Винницкая;Село
Великий Острожок;Великий Острожок;Хмельник;Винницкая;Село
Вендичаны;Вендичани;Могилев-Подольский;Винницкая;Село
Вербка;Вербка;Крыжополь;Винницкая;Село
Вербка;Вербка;Чечельник;Винницкая;Село
Вербовая;Вербова;Томашполь;Винницкая;Село
Вербовец;Вербовець;Мурованые Куриловцы;Винницкая;Село
Вербовка;Вербівка;Ильинцы;Винницкая;Село
Вербовка;Вербівка;Липовец;Винницкая;Село
Вербовка;Вербівка;Литин;Винницкая;Село
Вернигородок;Вернигородок;Казатин;Винницкая;Село
Верховка;Верхівка;Бар;Винницкая;Село
Верховка;Верхівка;Тростянец;Винницкая;Село
Веселовка;Веселівка;Теплик;Винницкая;Село
Ветровка;Вітрівка;Ямполь;Винницкая;Село
Вийтовка;Війтівка;Бершадь;Винницкая;Село
Вилы;Вила;Томашполь;Винницкая;Село
Вилы-Яругские;Вила-Ярузькі;Черновцы;Винницкая;Село
Винницкие Хутора;Вінницькі Хутори;Винница;Винницкая;Село
Виноградное;Виноградне;Мурованые Куриловцы;Винницкая;Село
Вишенка;Вишенька;Хмельник;Винницкая;Село
Вишенка;Вишенька;Винница;Винницкая;Район
Вишковцы;Вишківці;Немиров;Винницкая;Село
Владимировка;Володимирівка;Ильинцы;Винницкая;Село
Воеводинцы;Воєводчинці;Могилев-Подольский;Винницкая;Село
Военный городок;Військове містечко;Винница;Винницкая;Район
Войнашовка;Войнашівка;Бар;Винницкая;Село
Войтовцы;Війтівці;Липовец;Винницкая;Село
Воловодовка;Воловодівка;Немиров;Винницкая;Село
Володиевцы;Володіївці;Черновцы;Винницкая;Село
Волчинец;Вовчинець;Казатин;Винницкая;Село
Волчок;Вовчок;Немиров;Винницкая;Село
Воробеевка;Воробіївка;Немиров;Винницкая;Село
Воробеевка;Воробієвка;Хмельник;Винницкая;Село
Вороновица;Вороновиця;Винница;Винницкая;Село
Вороновцы;Воронівці;Хмельник;Винницкая;Село
Вороны;Ворони;Бершадь;Винницкая;Село
Ворошиловка;Ворошилівка;Тывров;Винницкая;Село
Высокая Гребля;Висока Гребля;Крыжополь;Винницкая;Село
Высокое;Високе;Томашполь;Винницкая;Село
Высшая Кропивна;Вища Кропивна;Немиров;Винницкая;Село
Высшеольчедаев;Вищеольчедаїв;Мурованые Куриловцы;Винницкая;Село
Гавриловка;Гаврилівка;Винница;Винницкая;Село
Гавришовка;Гавришівка;Винница;Винницкая;Пригород
Гайово;Гайове;Бар;Винницкая;Село
Гайсин;Гайсин;Гайсин;Винницкая;Район
Галайковцы;Галайківці;Мурованые Куриловцы;Винницкая;Село
Гальжбеевка;Гальжбіївка;Ямполь;Винницкая;Село
Ганнополь;Ганнопіль;Тульчин;Винницкая;Село
Гармаки;Гармаки;Бар;Винницкая;Село
Гарячковка;Гарячківка;Крыжополь;Винницкая;Село
Гибаловка;Гибалівка;Шаргород;Винницкая;Село
Глибочок;Глибочок;Тростянец;Винницкая;Село
Глинск;Глинськ;Калиновка;Винницкая;Село
Глуховцы;Глухівці;Казатин;Винницкая;Село
Гнатков;Гнатків;Томашполь;Винницкая;Село
Гнатовка;Гнатівка;Гайсин;Винницкая;Село
Гнатовка;Гнатівка;Хмельник;Винницкая;Село
Гниванское шоссе;Гніванське шосе;Винница;Винницкая;Район
Гнивань;Гнівань;Тывров;Винницкая;Село
Гнивань;Гнівань;Гнивань;Винницкая;Район
Голдашовка;Голдашівка;Бершадь;Винницкая;Село
Голендри;Голендри;Калиновка;Винницкая;Село
Голинчинцы;Голинчинці;Шаргород;Винницкая;Село
Головеньки;Головеньки;Немиров;Винницкая;Село
Голодьки;Голодьки;Хмельник;Винницкая;Село
Голубиное;Голубече;Крыжополь;Винницкая;Село
Гоноровка;Гонорівка;Песчанка;Винницкая;Село
Гоноровка;Гонорівка;Ямполь;Винницкая;Село
Гонтовка;Гонтівка;Черновцы;Винницкая;Село
Гопчица;Гопчиця;Погребище;Винницкая;Село
Горбановка;Горбанівка;Винница;Винницкая;Село
Горбовцы;Горбівці;Литин;Винницкая;Село
Гордеевка;Гордіївка;Тростянец;Винницкая;Село
Горишковка;Горишківка;Томашполь;Винницкая;Село
Городище;Городище;Литин;Винницкая;Село
Городище;Городище;Песчанка;Винницкая;Село
Городковка;Городківка;Крыжополь;Винницкая;Село
Городок;Городок;Ильинцы;Винницкая;Село
Гостинное;Гостинне;Немиров;Винницкая;Село
Грабаровка;Грабарівка;Могилев-Подольский;Винницкая;Село
Грабаровка;Грабарівка;Песчанка;Винницкая;Село
Грабовец;Грабовець;Немиров;Винницкая;Село
Гранов;Гранів;Гайсин;Винницкая;Село
Грижинцы;Грижинці;Тывров;Винницкая;Село
Гриненки;Гриненки;Немиров;Винницкая;Село
Гришовцы;Гришівці;Тывров;Винницкая;Село
Громадское;Громадське;Литин;Винницкая;Село
Грузское;Грузьке;Гайсин;Винницкая;Село
Грушка;Грушка;Могилев-Подольский;Винницкая;Село
Грушковцы;Грушківці;Калиновка;Винницкая;Село
Губник;Губник;Гайсин;Винницкая;Село
Губник;Губник;Тростянец;Винницкая;Село
Гули;Гулі;Бар;Винницкая;Село
Гуменное;Гуменне;Винница;Винницкая;Село
Гунча;Гунча;Гайсин;Винницкая;Село
Гунька;Гунька;Немиров;Винницкая;Село
Гуровцы;Гурівці;Казатин;Винницкая;Село
Гута станция;Гута станція;Хмельник;Винницкая;Село
Гуты;Гути;Тульчин;Винницкая;Село
